"V1","V2","V3","V4","V5","V6","V7","V8"
0,0,0,0,0,0,0,0
0,1,0,0,1,0,1452.82413934901,702.832815598601
0,1,1,0,1,0,962.283640940594,675.80895987897
0,1,2,0,1,0,954.014259666394,677.665922171107
0,1,3,0,1,0,981.448679532436,679.712063979506
0,1,4,0,1,0,931.180695271616,680.45954792287
0,1,5,0,1,0,942.106509023616,682.476140162591
0,1,0,1,1,0,1322.5474253932,698.302184666848
0,1,1,1,1,0,940.817759947078,676.82438826623
0,1,2,1,1,0,959.535202201954,677.990739573986
0,1,3,1,1,0,957.841502901188,680.464046400557
0,1,4,1,1,0,915.602136099166,682.230875063048
0,1,5,1,1,0,868.436662281031,680.906162681342
0,1,0,2,1,0,1321.40218331405,700.589538326404
0,1,1,2,1,0,939.438402843795,679.257956024746
0,1,2,2,1,0,954.581703708674,680.316922534587
0,1,3,2,1,0,950.696819259529,682.816637585386
0,1,4,2,1,0,917.938183945277,683.341858521408
0,1,5,2,1,0,868.357388180451,684.043869527472
0,1,0,3,1,0,1230.34297598955,699.093527876399
0,1,1,3,1,0,867.883366934156,676.707887549115
0,1,2,3,1,0,879.205390252379,678.92374480231
0,1,3,3,1,0,869.84325885577,680.47663988859
0,1,4,3,1,0,849.567276860829,684.40852216887
0,1,5,3,1,0,781.458774584146,683.173917872814
0,1,0,4,1,0,1212.0356903244,701.07948083766
0,1,1,4,1,0,854.180628765331,678.752751015775
0,1,2,4,1,0,869.352441420185,680.988022097115
0,1,3,4,1,0,861.770516697191,683.088403342476
0,1,4,4,1,0,837.657605915367,687.078353148614
0,1,5,4,1,0,782.407037786894,686.683499491825
0,1,0,5,1,0,1192.06347228975,703.204219142246
0,1,1,5,1,0,818.690905465401,680.845912015761
0,1,2,5,1,0,849.098602833962,683.198346547117
0,1,3,5,1,0,848.776826770322,686.551561810342
0,1,4,5,1,0,799.874947937675,689.243182490629
0,1,5,5,1,0,767.620361303239,690.35298924764
0,1,0,0,1,1,1324.98619529591,698.540629665191
0,1,1,0,1,1,933.61427723881,676.536174850045
0,1,2,0,1,1,946.381747620333,677.217538413675
0,1,3,0,1,1,944.703071485736,679.67298247444
0,1,4,0,1,1,906.412137012484,681.818019010552
0,1,5,0,1,1,902.506265452097,682.381348256864
0,1,0,1,1,1,1215.67042049205,697.2151786658
0,1,1,1,1,1,919.361028245615,678.338955927117
0,1,2,1,1,1,930.101128446588,678.683523554336
0,1,3,1,1,1,905.668642099443,679.660403922629
0,1,4,1,1,1,886.866390301769,683.904586803123
0,1,5,1,1,1,867.813306771394,684.018718146574
0,1,0,2,1,1,1316.85862192958,702.867871976638
0,1,1,2,1,1,919.162170433354,680.95733660571
0,1,2,2,1,1,928.515350019043,681.391637326945
0,1,3,2,1,1,905.643266999861,682.614901711295
0,1,4,2,1,1,878.175699722909,686.664084861714
0,1,5,2,1,1,854.598047752134,686.607014083113
0,1,0,3,1,1,1179.66671412162,699.918538264111
0,1,1,3,1,1,823.270982917936,677.612682386988
0,1,2,3,1,1,843.104000171737,679.550453556114
0,1,3,3,1,1,843.107882387612,682.801081921761
0,1,4,3,1,1,803.909431899573,685.379243846476
0,1,5,3,1,1,780.448407381613,686.642590530233
0,1,0,4,1,1,1146.58505591803,702.362523857355
0,1,1,4,1,1,822.199351540049,680.349755105649
0,1,2,4,1,1,840.813609156149,682.776306029218
0,1,3,4,1,1,840.075417751135,686.128710112531
0,1,4,4,1,1,841.182830528654,689.004738571287
0,1,5,4,1,1,782.209016394937,690.481109875729
0,1,0,5,1,1,1148.52267641861,705.293264103901
0,1,1,5,1,1,822.764753447088,683.429759970662
0,1,2,5,1,1,840.848388051885,685.905595429378
0,1,3,5,1,1,836.572620133637,688.845062460608
0,1,4,5,1,1,836.175806828708,692.686418956391
0,1,5,5,1,1,767.58952468967,694.45880429139
0,1,0,0,1,2,1324.41868521285,700.838584674666
0,1,1,0,1,2,924.705498068053,678.630297176649
0,1,2,0,1,2,939.266544528492,679.439272250942
0,1,3,0,1,2,938.35056656368,682.096300099573
0,1,4,0,1,2,905.555368736494,682.553449463105
0,1,5,0,1,2,901.337248225806,685.445722733737
0,1,0,1,1,2,1185.64861932323,698.63015636823
0,1,1,1,1,2,919.373280295786,680.959349315091
0,1,2,1,1,2,929.633052066096,681.442240915659
0,1,3,1,1,2,905.651246266164,682.61493092235
0,1,4,1,1,2,882.894883062493,686.877507746936
0,1,5,1,1,2,804.415077494766,683.806207877081
0,1,0,2,1,2,1170.98048277431,700.502836041847
0,1,1,2,1,2,840.312551184512,680.175692727608
0,1,2,2,1,2,866.803091408965,681.925553532044
0,1,3,2,1,2,851.572749951134,683.675064224036
0,1,4,2,1,2,775.062710114345,687.354616684439
0,1,5,2,1,2,762.078397075083,687.184801422049
0,1,0,3,1,2,1167.20494926857,702.46392183118
0,1,1,3,1,2,825.429953078585,680.362790849057
0,1,2,3,1,2,839.607953358856,682.773353296578
0,1,3,3,1,2,839.913258251201,685.448475300729
0,1,4,3,1,2,801.544418921579,688.954114712448
0,1,5,3,1,2,765.213691572485,690.426854477657
0,1,0,4,1,2,1164.84567693825,705.484191401791
0,1,1,4,1,2,824.836809131268,683.488344221938
0,1,2,4,1,2,841.637729402141,685.987564977956
0,1,3,4,1,2,842.400970335201,689.709421803009
0,1,4,4,1,2,803.748246452904,692.762083504871
0,1,5,4,1,2,686.763270103023,692.138875897136
0,1,0,5,1,2,1094.85225020616,707.89025939935
0,1,1,5,1,2,807.352472782019,686.660891620685
0,1,2,5,1,2,834.138126938592,689.52451057492
0,1,3,5,1,2,681.695335837789,690.320525956674
0,1,4,5,1,2,611.726457014346,693.719198237376
0,1,5,5,1,2,671.620306713017,696.259688190851
0,1,0,0,1,3,1307.82226004737,702.399707517242
0,1,1,0,1,3,891.298183685431,679.267835969272
0,1,2,0,1,3,876.915806725995,681.449785373346
0,1,3,0,1,3,880.868065979264,684.116053173214
0,1,4,0,1,3,864.995309530813,686.010191701404
0,1,5,0,1,3,899.720640242121,688.697498369478
0,1,0,1,1,3,1175.38320304975,699.97712787203
0,1,1,1,1,3,816.301785001125,677.813003249367
0,1,2,1,1,3,848.581305917851,680.058767404122
0,1,3,1,1,3,848.947208741337,682.681168677424
0,1,4,1,1,3,801.340952823373,685.506886090914
0,1,5,1,1,3,777.617138867122,687.088774938481
0,1,0,2,1,3,1180.84858350664,702.74932935752
0,1,1,2,1,3,816.958424557037,680.764851454069
0,1,2,2,1,3,833.035545773151,682.993246792795
0,1,3,2,1,3,836.293711962993,686.436058095741
0,1,4,2,1,3,825.856875173968,689.257548824951
0,1,5,2,1,3,771.354961714797,690.647546218443
0,1,0,3,1,3,1003.91517661901,702.795045419928
0,1,1,3,1,3,705.69846059406,681.0621974122
0,1,2,3,1,3,695.85894558613,683.692819514815
0,1,3,3,1,3,690.090293112431,687.146471126687
0,1,4,3,1,3,710.009370568214,690.531269833593
0,1,5,3,1,3,689.111828559681,692.001569385502
0,1,0,4,1,3,1003.94923389261,705.925501356274
0,1,1,4,1,3,706.745860743179,684.25582238526
0,1,2,4,1,3,692.352421149218,687.112509581494
0,1,3,4,1,3,704.20161628445,690.646006056802
0,1,4,4,1,3,689.932532189295,694.899686671244
0,1,5,4,1,3,677.264237771101,696.201797180243
0,1,0,5,1,3,997.511506561239,709.251625847006
0,1,1,5,1,3,693.567808916104,687.773891147877
0,1,2,5,1,3,692.997105894983,690.952892105876
0,1,3,5,1,3,697.034585795154,695.035076577355
0,1,4,5,1,3,676.623903119216,698.95376923993
